,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
33,0.611,0.611,0.5,0.5,0.458,0.458,0.375,0.375,0.403,0.403,0.528,0.528,0.403,0.403,0.431,0.431,0.375,0.375,0.417,0.417,0.417,0.417,0.458,0.458,0.458,0.458,0.736,0.736,0.736,0.736,0.486,0.736,0.611,0.0,0.653,0.722,0.486,0.611,0.444,0.528,0.736,0.361,0.5,0.458,0.611,0.639,0.597,0.833,0.833,0.708,0.958,0.958,0.792,0.556,0.556
34,0.958,0.958,0.681,0.681,0.722,0.722,0.722,0.722,0.75,0.75,0.764,0.764,0.75,0.75,0.778,0.778,0.722,0.722,0.764,0.764,0.764,0.764,0.722,0.722,0.806,0.806,0.917,0.917,0.917,0.917,0.667,0.917,0.958,0.653,0.0,0.847,0.833,0.958,0.792,0.875,0.917,0.708,0.681,0.806,0.875,0.542,0.5,0.736,0.736,0.444,0.694,0.694,0.528,0.569,0.569
35,0.889,0.889,0.528,0.528,0.653,0.653,0.653,0.653,0.597,0.597,0.722,0.722,0.597,0.597,0.708,0.708,0.653,0.653,0.694,0.694,0.611,0.611,0.569,0.569,0.653,0.653,0.764,0.764,0.764,0.764,0.514,0.764,0.889,0.722,0.847,0.0,0.681,0.889,0.722,0.806,0.764,0.639,0.528,0.653,0.722,0.694,0.653,0.889,0.889,0.514,0.764,0.764,0.597,0.722,0.722
36,0.792,0.792,0.514,0.514,0.556,0.556,0.556,0.556,0.583,0.583,0.597,0.597,0.583,0.583,0.611,0.611,0.556,0.556,0.597,0.597,0.597,0.597,0.556,0.556,0.639,0.639,0.75,0.75,0.75,0.75,0.5,0.75,0.792,0.486,0.833,0.681,0.0,0.792,0.958,0.708,0.75,0.875,0.514,0.639,0.708,0.375,0.333,0.569,0.569,0.611,0.528,0.528,0.694,0.736,0.736
37,1.0,1.0,0.639,0.639,0.764,0.764,0.764,0.764,0.708,0.708,0.722,0.722,0.708,0.708,0.819,0.819,0.764,0.764,0.806,0.806,0.722,0.722,0.681,0.681,0.764,0.764,0.875,0.875,0.875,0.875,0.625,0.875,1.0,0.611,0.958,0.889,0.792,0.0,0.833,0.917,0.875,0.75,0.639,0.764,0.833,0.583,0.542,0.778,0.778,0.403,0.653,0.653,0.486,0.611,0.611
38,0.833,0.833,0.472,0.472,0.597,0.597,0.597,0.597,0.542,0.542,0.556,0.556,0.542,0.542,0.653,0.653,0.597,0.597,0.639,0.639,0.556,0.556,0.514,0.514,0.597,0.597,0.708,0.708,0.708,0.708,0.458,0.708,0.833,0.444,0.792,0.722,0.958,0.833,0.0,0.75,0.708,0.917,0.472,0.597,0.667,0.417,0.375,0.611,0.611,0.569,0.486,0.486,0.653,0.778,0.778
39,0.917,0.917,0.639,0.639,0.847,0.847,0.764,0.764,0.792,0.792,0.722,0.722,0.792,0.792,0.819,0.819,0.764,0.764,0.889,0.889,0.722,0.722,0.681,0.681,0.847,0.847,0.792,0.792,0.792,0.792,0.708,0.792,0.917,0.528,0.875,0.806,0.708,0.917,0.75,0.0,0.792,0.833,0.639,0.847,0.917,0.667,0.542,0.694,0.694,0.486,0.569,0.569,0.403,0.528,0.528
40,0.875,0.875,0.764,0.764,0.639,0.639,0.639,0.639,0.667,0.667,0.681,0.681,0.667,0.667,0.694,0.694,0.639,0.639,0.681,0.681,0.681,0.681,0.639,0.639,0.722,0.722,1.0,1.0,1.0,1.0,0.75,1.0,0.875,0.736,0.917,0.764,0.75,0.875,0.708,0.792,0.0,0.625,0.764,0.722,0.792,0.458,0.417,0.653,0.653,0.528,0.778,0.778,0.611,0.486,0.486
41,0.75,0.75,0.472,0.472,0.681,0.681,0.597,0.597,0.625,0.625,0.556,0.556,0.625,0.625,0.653,0.653,0.597,0.597,0.722,0.722,0.556,0.556,0.514,0.514,0.681,0.681,0.625,0.625,0.625,0.625,0.542,0.625,0.75,0.361,0.708,0.639,0.875,0.75,0.917,0.833,0.625,0.0,0.472,0.681,0.75,0.5,0.375,0.528,0.528,0.653,0.403,0.403,0.569,0.694,0.694
42,0.639,0.639,0.889,0.889,0.597,0.597,0.875,0.875,0.736,0.736,0.694,0.694,0.625,0.625,0.708,0.708,0.875,0.875,0.639,0.639,0.917,0.917,0.875,0.875,0.681,0.681,0.764,0.764,0.764,0.764,0.708,0.764,0.639,0.5,0.681,0.528,0.514,0.639,0.472,0.639,0.764,0.472,0.0,0.681,0.639,0.417,0.653,0.417,0.417,0.375,0.542,0.542,0.375,0.25,0.25
43,0.764,0.764,0.792,0.792,0.917,0.917,0.722,0.722,0.833,0.833,0.653,0.653,0.944,0.944,0.667,0.667,0.722,0.722,0.958,0.958,0.764,0.764,0.722,0.722,1.0,1.0,0.722,0.722,0.722,0.722,0.861,0.722,0.764,0.458,0.806,0.653,0.639,0.764,0.597,0.847,0.722,0.681,0.681,0.0,0.847,0.736,0.5,0.542,0.542,0.417,0.5,0.5,0.333,0.375,0.375
